Angle [Radians],f(x)
1.31,-0.021435765
1.32,0.032183496
1.33,0.088323999
1.34,0.146519242
1.35,0.20627907
1.36,0.26709365
1.37,0.328437627
1.38,0.389774448
1.39,0.450560814
1.4,0.510251208
1.41,0.568302489
1.42,0.624178487
1.43,0.677354582
1.44,0.727322212
1.45,0.773593292
1.46,0.815704486
1.47,0.853221309
1.48,0.885742025
1.49,0.912901297
1.5,0.934373577
1.51,0.949876181
1.52,0.959172046
1.53,0.962072133
1.54,0.958437458
1.55,0.948180725
1.56,0.93126756
1.57,0.907717319
1.58,0.877603476
1.59,0.841053569
1.6,0.798248715
1.61,0.74942269
1.62,0.694860582
1.63,0.634897024
1.64,0.569914014
1.65,0.500338349
1.66,0.426638679
1.67,0.349322211
1.68,0.268931082
1.69,0.186038437
1.7,0.101244224
1.71,0.01517076
1.72,-0.071541916
1.73,-0.158240855
1.74,-0.244265151
1.75,-0.328950977
1.76,-0.411636691
1.77,-0.491667944
1.78,-0.568402777
1.79,-0.641216642
1.8,-0.709507326
1.81,-0.772699733
1.82,-0.830250485
1.83,-0.8816523
1.84,-0.926438127
1.85,-0.964184993
1.86,-0.99451753
1.87,-1.01711116
1.88,-1.031694915
1.89,-1.038053852
1.9,-1.036031066
1.91,-1.025529264
1.92,-1.006511898
1.93,-0.979003846
1.94,-0.943091625
1.95,-0.898923151
1.96,-0.84670702
1.97,-0.786711347
1.98,-0.719262137
1.99,-0.644741231
2,-0.563583809
2.01,-0.476275501
2.02,-0.383349104
2.03,-0.285380934
2.04,-0.182986846
2.05,-0.076817951
2.06,0.032443947
2.07,0.14409115
2.08,0.257395069
2.09,0.37161139
2.1,0.485985375
2.11,0.599757239
2.12,0.712167583
2.13,0.822462822
2.14,0.929900587
2.15,1.033755042
2.16,1.13332209
2.17,1.227924415
2.18,1.316916337
2.19,1.399688432
2.2,1.475671883
2.21,1.544342536
2.22,1.605224629
2.23,1.657894153
2.24,1.701981842
2.25,1.73717575
2.26,1.763223413
2.27,1.779933557
2.28,1.787177373
2.29,1.784889313
2.3,1.773067434
2.31,1.751773264
2.32,1.721131212
2.33,1.681327508
2.34,1.632608698
2.35,1.575279699
2.36,1.509701432
2.37,1.436288049
2.38,1.35550378
2.39,1.267859427
2.4,1.173908523
2.41,1.0742432
2.42,0.969489784
2.43,0.860304168
2.44,0.747366981
2.45,0.631378609
2.46,0.513054088
2.47,0.393117925
2.48,0.27229888
2.49,0.151324746
2.5,0.030917171
2.51,-0.088213436
2.52,-0.205372879
2.53,-0.319887999
2.54,-0.431111291
2.55,-0.538425305
2.56,-0.641246775
2.57,-0.739030461
2.58,-0.831272673
2.59,-0.917514442
2.6,-0.997344325
2.61,-1.070400826
2.62,-1.136374407
2.63,-1.195009077
2.64,-1.246103565
2.65,-1.289512047
2.66,-1.325144438
2.67,-1.352966249
2.68,-1.372998012
2.69,-1.385314272
2.7,-1.390042177
2.71,-1.38735965
2.72,-1.377493198
2.73,-1.360715337
2.74,-1.337341696
2.75,-1.307727792
2.76,-1.272265527
2.77,-1.231379431
2.78,-1.185522672
2.79,-1.135172891
2.8,-1.080827869
2.81,-1.023001085
2.82,-0.962217196
2.83,-0.899007467
2.84,-0.833905202
2.85,-0.767441208
2.86,-0.700139332
2.87,-0.632512099
2.88,-0.565056505
2.89,-0.498249974
2.9,-0.432546538
2.91,-0.368373253
2.92,-0.306126883
2.93,-0.246170887
2.94,-0.188832718
2.95,-0.134401476
2.96,-0.083125908
2.97,-0.035212788
2.98,0.009174308
2.99,0.049915847
3,0.086936768
3.01,0.120206519
3.02,0.149738686
3.03,0.175590223
3.04,0.197860305
3.05,0.216688789
3.06,0.232254321
3.07,0.244772097
3.08,0.254491293
